Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
32,10942779,NUDTDMGTY,"2023-10-31 21:32:16",0.00044,9,tianyanggu
33,11164985,wzl,"2023-10-31 21:42:14",0.00044,4,yuqinglian
34,11167182,tmpusr,"2023-11-01 06:46:14",0.00044,1,tmpusr
35,10979984,yangyanju,"2023-11-01 13:58:15",0.00044,1,yangyanju
36,11168149,Dolbaeby,"2023-11-02 17:01:06",0.00044,8,"blizznetc,igorhomichenko"
37,11178251,"Pranav Bijith","2023-11-02 21:13:21",0.00044,2,pranavbijith
38,11034254,SITCEG01,"2023-11-08 07:00:25",0.00044,26,"hsumyatkyithar,karthikahvdhanaraj,shebiyajr,sitceg01,syafiqaha"
39,11216766,"zulqarnain ali","2023-11-09 09:01:11",0.00044,1,zulqarnainali
40,7497567,"Sabella Nisa","2023-11-21 06:37:19",0.00044,12,sabellanisa
41,10945037,"HAFIZ MUHAMMAD IMRAN KHAN","2023-11-13 13:28:14",0.00044,1,csmimrankhan
42,11233470,filtered,"2023-11-15 06:49:00",0.00044,3,huanligong
43,10667563,"Efecan Guler","2023-11-21 06:23:59",0.00044,1,efecanxrd
44,10932848,"Semih Günak","2023-11-21 18:43:39",0.00044,5,semihgnak
45,11269190,"Fedor Ivashchenko","2023-11-25 13:58:18",0.00044,9,fedorivashchenko
46,10304034,"susa xu","2023-11-25 19:07:08",0.00044,2,susaxu
47,11220617,AlexMoura2023,"2023-11-20 12:32:55",0.00407,45,alexmoura2023
48,11106659,"AL Sayed Hashim","2023-11-08 07:44:00",0.01755,21,alsayedhashim
49,11169361,skjoldraudr,"2023-11-04 23:14:56",0.03299,7,skjoldraudr
50,10312770,danttis,"2023-11-12 14:05:17",0.04213,4,danttis
51,11039820,"mubin manasiya","2023-10-25 12:41:01",0.04573,8,mubinmanasiya
52,10821158,"Anil Reddy #2","2023-11-21 13:27:17",0.05002,2,anilreddyvv
53,11020390,Zhudeyi,"2023-10-20 06:51:01",0.05028,44,"sunhaosh,zhudeyi"
54,10978544,Suowanli,"2023-09-27 16:20:24",0.05179,1,suowanli1
55,10553911,"Thapa Bigyan","2023-10-16 12:54:25",0.05179,1,thapabigyan
56,11032226,han.Shiii,"2023-10-20 09:21:57",0.05179,14,hanshiii
57,11099328,PRADEEPSAHU1357,"2023-11-08 02:15:54",0.05179,31,pradeepsahu1357
58,11185310,ysa023,"2023-11-04 03:52:37",0.05179,1,"haoyz25,ysa023"
59,11185318,"Marri Shashe Vikaash","2023-11-06 15:10:20",0.05179,1,marrishashevikaash
60,11173497,huazai888,"2023-11-07 03:10:12",0.05179,2,huazai888
61,11052460,"Tassadit DEBIANE","2023-11-11 21:38:32",0.05179,2,tassaditdebiane
62,10391792,iamjclu,"2023-11-12 12:25:43",0.05179,1,iamjclu
63,11262027,usunyu,"2023-11-23 17:03:19",0.05179,5,usunyu
64,11151770,"John D.","2023-11-09 01:56:19",0.05460,3,jdonald
65,11123598,"Nicolas Rayner","2023-10-24 11:57:13",0.05903,1,nicolasrayner
66,11123930,"Lauren Gabalti","2023-10-24 12:55:19",0.05903,1,laurengabalti
67,11140547,"BladeRunner #2","2023-11-01 09:11:20",0.05903,1,bladerunner2022
68,11119947,Coconuttttttt,"2023-11-03 19:25:13",0.05903,2,coconuttttttt
69,10998268,socraties,"2023-10-20 10:14:00",0.07803,10,socraties
70,10980402,"Nicholas Teng","2023-11-08 06:49:05",0.07993,5,nicholasteng
71,11092311,"Núria Gómez Vernet","2023-10-19 16:03:10",0.08096,11,nuriagvernet
72,11003700,PhysicsMike0701,"2023-11-08 07:58:49",0.09397,65,"fletcherjiang,mikezhang999"
73,10999396,"sky forever","2023-10-02 12:23:02",0.09526,1,skyforever
74,11203445,PhysicsMike,"2023-11-08 07:18:02",0.09739,11,physicsmike
75,10927962,"Yi-Fu Chen","2023-11-05 02:56:39",0.11248,4,yifuchen0
76,10750651,xlywhxn,"2023-11-10 03:45:03",0.11459,33,xlywhxn
77,11014566,"Julian Infante Trillos","2023-11-23 20:28:18",0.11509,153,julianinfantetrillos
78,9942645,AlexDrozd,"2023-10-24 11:58:55",0.11552,5,"alexdrozd,dimkko,lisacross"
79,11013465,"Dinesh Jaliparthi","2023-10-22 01:34:27",0.11611,17,dineshjaliparthi
80,11157585,"Dinh - Group 6 (Tyler/Kareem)","2023-11-06 20:17:11",0.11615,1,"kareemabdelghany312,tylercoffey2001"
81,11046617,Syciciel,"2023-11-18 22:14:24",0.11618,191,syciciel
82,10873434,"Sittakon Phommee","2023-11-03 17:30:06",0.11621,30,"chayadonlappabud,preenet,sarunkanyamoon,sittakonphommee"
83,11266297,"mingxuan yu","2023-11-19 14:22:13",0.11633,6,mingxuanyu
84,11122453,SITCEG03,"2023-11-17 12:02:38",0.11641,47,"bandith,regressionthings,sitceg03,tanhonneeharald,tanlijing"
85,11285118,Pangpang6761,"2023-11-21 14:56:40",0.11650,6,"gfx6849,huangyvhang,pangxuanxuan2091,wyz7125"
86,11145283,SITCEG06,"2023-11-19 16:00:10",0.11658,53,"hongxingdajiang,josephchowww,limaikhui,mahkceb,neojinhui"
87,10919883,Comrades,"2023-11-11 10:15:36",0.11695,6,"butsoftz,chenrubing"
88,10941777,"VASALA ROHITH","2023-09-30 07:50:02",0.11720,1,vasalarohith
89,11057956,"Charan #4","2023-10-12 09:57:48",0.11720,1,charanvemula94
90,11088955,zhji199,"2023-10-18 06:22:26",0.11720,10,zhji199
91,11096747,"Jacob Softleigh-Moore","2023-10-19 10:48:09",0.11720,1,jacobsoftleighmoore
92,11191756,"Satish Undralla","2023-11-05 14:11:49",0.11720,1,satishundralla
93,11203800,chinawhy,"2023-11-11 09:13:34",0.11720,5,chinawhy
94,11181867,"HALİL KORKMAZ","2023-11-11 12:39:05",0.11720,1,hallkorkmaz
95,8865907,"Manuel Vélez","2023-10-10 14:15:06",0.11733,4,mandresve
96,8601334,Laszlore,"2023-10-31 17:10:12",0.11743,1,laszlore
97,10874604,renwanli,"2023-10-25 01:00:13",0.11744,15,renwanli
98,10936822,awayty,"2023-11-23 06:56:04",0.11760,29,awayty
99,11107668,Xiaobizaizi,"2023-10-23 06:15:37",0.11762,18,xiaobizaizi
100,2819732,"Mental Sky","2023-11-25 10:09:31",0.11768,104,jurbanhost
101,11257161,CODERRR777,"2023-11-21 21:58:49",0.11775,20,coderrr777
102,11252468,LiuAnHuaMing,"2023-11-17 09:34:04",0.11792,1,liuanhuaming
103,600537,"Ian Chu Te","2023-11-23 19:33:28",0.11792,8,ianchute
104,11068292,lemonlm19,"2023-10-14 11:48:08",0.11796,1,lemonlm19
105,11089811,liuwenfei,"2023-10-23 10:41:29",0.11797,13,liuwenfei
106,7542611,"Collin Davies","2023-10-14 02:08:14",0.11799,55,collindavies
107,11071579,"Sithum Hettiarachchi","2023-10-16 14:43:37",0.11799,5,sithumniluminda
108,11147619,carterww,"2023-11-04 19:46:20",0.11799,11,carterww
109,11123906,chishuya,"2023-10-25 01:38:34",0.11802,15,chishuya
110,10492299,"Esteban Ponsoda","2023-10-26 07:30:40",0.11814,1,estebanponsoda
111,10636919,qintao361,"2023-11-25 15:22:58",0.11824,5,qintao361
112,10944128,"Dirk Obermann","2023-10-13 17:05:20",0.11824,29,dirkobermann
113,10851658,LexAck,"2023-10-04 01:20:24",0.11829,12,lexack
114,11033904,mian_bei,"2023-10-10 03:52:31",0.11833,5,mianbei
115,11089788,xinxinYang126,"2023-10-24 11:14:12",0.11839,3,xinxinyang126
116,8800242,"Federico Griggio","2023-11-15 06:43:55",0.11841,9,federicogriggio
117,10941965,"Huimin Sun 118","2023-10-25 00:20:43",0.11849,13,huiminsun118
118,10134031,"Thomas Nguyen #3","2023-10-09 22:10:29",0.11851,1,raresurvivor
119,10984993,rice,"2023-11-01 14:56:48",0.11855,5,gyftdresaw
120,10482675,gidler,"2023-11-03 19:42:06",0.11860,4,gidler
121,9412551,"Giovanna Brod Zamojska","2023-11-01 11:21:31",0.11860,60,giovannabrodzamojska
122,11114035,"harry zhang","2023-10-25 12:40:55",0.11862,3,harryzhanghr111
123,10341234,"Juan Fernando Varela Joven","2023-11-24 22:04:23",0.11868,1,juanfvj
124,11271630,"Happy Chetan Patel","2023-11-21 07:20:38",0.11876,9,happy63patel
125,11227187,"Abhishek Anil Patel","2023-11-21 07:29:40",0.11878,31,abhishekanilpatel
126,11058671,Pangolin,"2023-11-08 07:55:56",0.11885,38,"fletchersmall,ultramike"
127,5911846,"Javier Reinoso","2023-11-24 15:29:04",0.11898,5,javierreinoso
128,11034486,"Gilberto Robles Pena","2023-11-12 18:14:58",0.11909,46,gilbertoroblespena
129,11075879,"ADL #NCU","2023-10-26 15:42:56",0.11910,34,dylanline
130,11050729,"Nathali Fernando","2023-10-15 11:41:11",0.11913,4,nathalifernando
131,11238213,"Patrick French","2023-11-17 19:14:06",0.11914,17,psfrench76
132,11116477,"HuiXi Zheng","2023-10-24 08:54:07",0.11919,1,huixizheng
133,11109286,"Sri Sai Dine Jaliparthi","2023-10-22 01:38:35",0.11920,1,srisaidinejaliparthi
134,7915430,DJ_APER,"2023-10-29 05:25:57",0.11920,3,djaper
135,9533259,Maria_pyat,"2023-11-24 17:25:25",0.11922,13,mariapyat
136,11257484,zoozoo,"2023-11-17 06:15:54",0.11934,1,zoozoooo
137,11073344,"zhoumeng #2","2023-10-19 14:04:10",0.11936,6,zhoumengl
138,11086203,SITCEG12,"2023-11-20 10:25:25",0.11940,24,"kxixing,melvintay,tayzhikai,tb830240,tengxinyao"
139,11090102,"Zhao JingYi1","2023-10-21 05:26:46",0.11943,1,zhaojingyi1
140,10099905,zhaojunlong,"2023-10-21 05:31:43",0.11943,2,zhaonengneng
141,11077063,深度学习小组作业231021,"2023-10-20 08:32:33",0.11946,5,"chenpl,jiangcunxin,leon9c"
142,10976848,"Michael Wall 2","2023-10-08 10:48:49",0.11946,7,michaelwall2
143,11086545,dreamCatcher@SH,"2023-10-22 07:40:26",0.11946,2,dreamcatchersh
144,11085548,Aminuosi,"2023-10-18 09:29:24",0.11946,1,aminuosi
145,11282565,ChinaDWH,"2023-11-24 07:36:48",0.11946,3,chinadwh
146,10936821,ericyangchen,"2023-10-01 13:10:49",0.11949,9,ericyangchen
147,11276317,MingWei9,"2023-11-21 04:40:32",0.11950,8,mingwei9
148,10568417,"Bing Zhao","2023-11-08 16:40:18",0.11954,10,dovahyol
149,11044632,rzladitya,"2023-10-10 08:02:03",0.11954,1,rizalds
150,11050067,"ACLY Mining","2023-11-13 06:15:30",0.11955,100,"aychas,chanlitkwan,siutakleung,tangkailam,yimchion"
151,10979855,shuiyongmnig1,"2023-11-01 09:02:55",0.11958,5,shuiyongmnig1
152,11032497,"Zhang Chengrong","2023-10-08 06:37:08",0.11958,2,zhangchengrong
153,11032481,wlclda,"2023-10-08 07:01:15",0.11958,3,wlclda
154,11032533,"Li Ting13","2023-10-08 07:10:37",0.11958,2,liting13
155,11032780,Ustinian-ss,"2023-10-14 08:29:27",0.11958,2,ustinianss
156,11032804,sunwenqiqi,"2023-10-20 06:29:12",0.11958,3,sunwenqiqi
157,11069558,yuzijia,"2023-10-14 14:09:39",0.11958,1,yuzijia
158,11073374,liaokunyu,"2023-10-15 14:00:37",0.11958,1,liaokunyu
159,10980015,zhaoxiaoyan,"2023-11-04 12:23:14",0.11958,2,zhaoxiaoyan
160,11107527,ZhaoTongde,"2023-11-01 13:48:31",0.11958,1,zhaotongde
161,10998393,Nobrac,"2023-10-02 17:16:29",0.11962,1,nobrac
162,11148356,kkone_321,"2023-10-31 13:31:45",0.11964,2,kkone321
163,11201220,"Senan Soga","2023-11-07 11:34:48",0.11964,2,senansoga
164,11155453,zzzzzwj,"2023-10-31 10:59:25",0.11964,3,zzzzzwj
165,11022498,"Chica Chan","2023-10-07 14:37:06",0.11964,2,chicachan
166,11133957,"Cao YiNuo","2023-10-29 07:51:34",0.11967,1,zekilc
167,11290861,认真敲代码,"2023-11-23 13:35:56",0.11968,1,ymt013728
168,11113435,a574054939,"2023-11-23 08:53:01",0.11973,4,a574054939
169,11107672,HereisQL,"2023-10-23 05:57:56",0.11973,18,hereisql
170,11216750,"Pablo Corral Gutiérrez","2023-11-21 10:24:22",0.11974,13,pablocorralgutirrez
171,7912986,GhostintheMachine,"2023-11-16 21:15:29",0.11984,3,centorit
172,11077415,SITCEG09,"2023-11-19 09:39:05",0.11984,34,"ewongjj,junhui2000,kobedean,syadpuyol,yongzhuohao"
173,11143846,lleserein,"2023-11-10 06:41:50",0.11985,5,lleserein
174,11051027,fleqing,"2023-11-08 13:08:07",0.11985,2,fleqing
175,10615211,"Dan Voyce","2023-11-23 05:50:10",0.11985,1,digital2go
176,10981843,AriKissel,"2023-10-16 16:38:17",0.11988,6,arikissel
177,11127716,"Sean Tristan De Guzman","2023-11-05 12:09:45",0.11989,31,seantristan
178,11191323,"Sean Tristan De Guzman #2","2023-11-05 13:44:28",0.11989,10,seantristandeguzman
179,1210041,"Виталий Мирошниченко (ШАД Киев)","2023-11-06 09:52:13",0.11993,13,wailtmir
180,11183230,Mercury_er,"2023-11-08 05:01:04",0.11994,1,mercuryer
181,11008784,"Lakmini Bandarigodage","2023-10-12 12:03:47",0.11994,3,lakmini206022u
182,11072198,"Oscar X2","2023-11-10 12:27:25",0.11995,4,"iverson1227,makngailong,oscar42302,oscarlau20042635d"
183,10935094,"Alexey Shevchenko","2023-10-01 10:30:45",0.12002,1,alexeyshevchenko
184,11053512,Ted-YTShen,"2023-10-25 15:20:40",0.12002,16,tedytshen
185,11158643,hayafuga,"2023-10-31 06:51:36",0.12002,3,hayafuga
186,11071429,"yuanxiang zk","2023-10-15 13:35:13",0.12002,6,yuanxiangzk
187,11077941,206079A,"2023-10-16 15:18:56",0.12002,8,dinuramuthukumarana
188,8461586,"Vadim Scherbakov","2023-10-10 07:39:42",0.12002,39,vadimscherbakov
189,11140652,DMD,"2023-11-09 14:31:03",0.12002,49,"maximusma,maxwellrrrr,shukunxin,yufengkai"
190,11153181,"hisa nakanishi","2023-11-16 06:50:14",0.12003,4,hisanakanishi
191,6650832,"Simiao Xiong","2023-11-11 08:39:21",0.12006,16,"jehanyang,simiaoxiong"
192,5447397,"Arnaud Raulet","2023-10-28 10:09:13",0.12006,10,arnaudraulet
193,11203834,Chloeray,"2023-11-12 14:55:44",0.12008,1,chloeray
194,10842115,"Jeremy Austin","2023-11-24 19:20:12",0.12008,6,jeremyaust
195,11226347,ziNewlyFormedG1,"2023-11-11 08:54:00",0.12009,6,zhizhishierwang
196,10964135,"John Pospisil","2023-10-05 20:52:24",0.12010,2,audiofreak7
197,10321758,"Mihail T","2023-10-29 13:39:08",0.12010,2,mihailturlakov
198,10994382,"Ismail Harrando","2023-10-01 13:26:24",0.12010,1,ismailharrando
199,8874003,"Augustine Williams223","2023-11-08 11:57:54",0.12010,1,augustinewilliams223
200,11115009,"Dr. Programmer","2023-11-20 14:05:38",0.12010,53,drkaggle22
201,10995148,"Chem yun chiao","2023-10-02 07:01:43",0.12010,1,chemyunchiao
202,10968369,"[Deleted] b9eb5fc9-54a4-4c8a-a1f6-e2bb26030ee1","2023-10-19 17:35:02",0.12010,15,del=309aadff811690df
203,11040983,"[Deleted] 2cc5c1dc-f42d-4721-892d-df071ff4c83e","2023-10-19 19:16:21",0.12010,19,del=69e331f6224f7720
204,11248474,suckmybigdickplz,"2023-11-15 12:15:06",0.12010,1,suckmybigdickplz
205,11019600,"The R Analyzers","2023-11-23 01:35:50",0.12010,22,"adityakale976,charanrajreddy,subhashithreddy"
206,11190894,四月一日,"2023-11-21 14:04:56",0.12011,6,watanukiforkaggle
207,11039483,"Sulothma Wijesinghe","2023-10-11 09:21:13",0.12011,4,sulothmawijesinghe
208,11049585,"Aabidh musthaq","2023-10-14 16:28:35",0.12011,3,aabidhmusthaq
209,11116110,"Fernando Batista09","2023-10-26 18:22:13",0.12011,5,fernandobatista09
210,11260964,FlexedDkim,"2023-11-17 20:32:13",0.12011,1,flexeddkim
211,10981661,ryosukeTKHS,"2023-11-11 14:00:03",0.12011,57,ryosuket55
212,10339171,yfz-new,"2023-09-27 14:29:31",0.12012,1,yfznew
213,10889711,"Taiga Seike","2023-10-19 09:21:44",0.12012,1,taigaseike
214,11099230,"Marko Krencer","2023-10-20 08:15:46",0.12012,2,markokrencer
215,10991231,rockieCao,"2023-10-01 17:29:58",0.12012,8,rockiecao
216,11088641,snigmh,"2023-10-18 07:17:33",0.12013,7,yangpei16
217,11037182,"Onur Yılmaz #2","2023-10-12 12:27:31",0.12013,2,onuryilmazo
218,11020461,Hardyhappy,"2023-10-16 13:32:55",0.12013,2,hardyhappy
219,11045559,SITCEG02,"2023-11-17 12:06:39",0.12013,40,"cheahzhishin,damiansoh,liwenllw,lunabox,ngorweekian"
220,11226529,lengtuo,"2023-11-14 10:31:30",0.12014,31,lengtuo
221,10659298,"Duncan Cheng GOOD","2023-11-14 02:11:24",0.12015,2,duncanchenggood
222,11135135,"Abeer Pareek","2023-11-10 06:59:11",0.12020,9,abeerpareek
223,11045488,SITCEG10,"2023-11-17 06:56:00",0.12022,33,"ajeyjeyakumar,araventh228,darrenkurianmathew,rajkannan13,winterclient"
224,11004270,SITCEG11,"2023-11-17 01:47:02",0.12022,28,"chinjieer,damestkr,imran2142,limbohyong,mainecher,newtonapple"
225,11182414,tkomota,"2023-11-24 05:14:30",0.12024,21,tkomota
226,9384800,weizexu,"2023-11-14 16:09:53",0.12024,1,weizexu
227,11015456,zhangwenyuan1,"2023-10-20 06:39:18",0.12025,20,"juyiwu,mafengwen,zhangwenyuan1"
228,10979912,tuxara,"2023-10-06 06:19:02",0.12030,18,tuxara
229,11012222,shivam6862,"2023-10-06 22:01:36",0.12032,21,shivam6862
230,11286923,"Lalithya Sajja","2023-11-22 21:59:47",0.12036,5,lalithyasajja
231,11039368,"Nafisahika Putri Herra","2023-10-15 13:41:15",0.12040,2,nafisahikaputriherra
232,11079060,"Jimmy Broomfield","2023-11-01 03:32:58",0.12040,3,jimmybroomfield
233,11036419,"Analytics Avengers","2023-11-22 19:09:46",0.12042,27,sainitheshvarmar
234,11125169,Joerg_H,"2023-11-15 22:04:44",0.12043,65,jojoaction70499
235,11133207,"Ildar Gaisin1","2023-10-29 15:10:05",0.12043,16,ildargaisin1
236,11077002,"yasida wanigatunga","2023-10-16 18:33:50",0.12048,1,yasidawanigatunga
237,11168701,masuizhi,"2023-11-01 13:01:17",0.12054,10,masuizhi
238,11053567,UOM206061L,"2023-10-15 13:55:54",0.12056,6,uom206061l
239,11093027,"Ian Jenatz","2023-10-25 00:44:04",0.12056,10,ianjenatz
240,10962005,"yanzu wu","2023-10-09 14:38:18",0.12057,2,krisyanzuwu
241,7864963,zeronoshigure,"2023-10-18 00:56:34",0.12058,4,zeronoshigure
242,10978285,USC20214490126,"2023-11-25 14:25:23",0.12061,1,usc20214490126
243,11140154,Livisen,"2023-10-30 09:37:17",0.12063,2,livisen
244,11015989,Moerlzzz,"2023-10-08 12:37:58",0.12063,16,moerlzzz
245,11109276,xvkeke,"2023-10-24 04:32:24",0.12066,1,xvkeke
246,10441295,spikefay,"2023-11-20 12:54:27",0.12070,1,spikefay
247,10921363,"Jeremi Cichawa","2023-10-01 14:52:51",0.12072,20,jeremicichawa
248,7967426,"alberti rocco","2023-11-16 16:29:10",0.12072,2,albertirocco
249,11076901,"Lilanga Pannipitiya","2023-10-16 13:28:57",0.12073,1,lilangapannipitiya
250,11042411,HCW1113,"2023-10-20 08:53:10",0.12074,12,hcw1113
251,10929170,"Tom Beecken","2023-09-29 12:32:17",0.12078,1,tombeecken
252,10874522,"Fangzheng Yang","2023-10-25 05:08:05",0.12078,5,yangmakabaka
253,11029438,"Wang Laoji1010","2023-10-25 16:13:49",0.12079,11,wanglaoji1010
254,10795428,Nartaa,"2023-10-30 06:09:34",0.12083,55,nartaa
255,11285183,JulianTang0324,"2023-11-23 12:49:32",0.12083,4,juliantang0324
256,11174648,laser,"2023-11-10 23:36:15",0.12089,14,paulkroe
257,9297783,"Atif Suhail","2023-11-04 07:58:11",0.12090,4,atifsuhail
258,11116484,"SUN WU ZHOU","2023-11-02 07:13:29",0.12091,24,sunwuzhou
259,11135517,"Mining Mavericks","2023-10-26 12:27:43",0.12091,1,miningmavericks
260,11148905,Crystalxxxxx,"2023-10-29 14:31:09",0.12092,1,crystalxxxxx
261,11089728,tianxiaoyu,"2023-10-24 10:36:17",0.12093,5,tianxiaoyu112
262,7383599,rhezheh,"2023-11-19 11:57:21",0.12093,44,makotokawabe
263,11106923,zyz0814.,"2023-11-21 04:38:29",0.12095,4,zyz0814
264,10874594,tianyuying,"2023-10-25 01:52:26",0.12100,7,tianyuying
265,10940930,"[Deleted] 87909039-9d20-4278-999d-e45442c1e955","2023-10-23 11:25:04",0.12102,9,del=c230eeb7cf281f1f
266,11008622,iam_AngelChou,"2023-10-06 12:55:38",0.12103,10,iamangelchou
267,11116700,liumingyu3,"2023-10-24 08:29:52",0.12103,1,liumingyu3
268,11076393,"Nuwanga Kandegedara","2023-10-16 12:53:17",0.12106,2,nuwangakandegedara
269,11255300,"Khac Huy","2023-11-20 06:35:52",0.12108,1,khachuy
270,11103118,"Liu Lok Tin","2023-10-22 21:36:44",0.12108,2,liuloktin
271,10980945,"Imtiyaz Bagwan","2023-09-28 06:35:30",0.12108,1,imtiyazds
272,4645719,"Abhishek #7","2023-11-20 06:19:32",0.12109,32,followabhi
273,11268362,ZeyuLiukill,"2023-11-19 16:02:14",0.12112,3,zeyuliukill
274,11045516,"Liu Jiale","2023-10-26 08:00:47",0.12113,24,jadendew
275,11122378,liuyanhong0808,"2023-10-24 09:17:22",0.12118,1,liuyanhong0808
276,9814986,"Jaedron Mueller","2023-10-20 01:27:55",0.12118,25,jaedronmueller
277,8557830,"Trevor Jordan","2023-10-01 20:25:15",0.12120,4,tsj7ww
278,11071940,"[Deleted] e54a8ccb-9fe6-47f6-8a8b-a3ec16ad5eea","2023-10-17 17:04:08",0.12121,7,del=4a45565eef4f51b7
279,8820586,"Zilong Li0242","2023-09-28 00:44:41",0.12123,1,zilongli0242
280,11261151,"Rika #3","2023-11-25 14:10:55",0.12125,2,emannisar
281,10960099,USC20214490125,"2023-11-16 10:31:33",0.12126,4,usc20214490125
282,10924856,"Ashes Yuki","2023-11-12 19:59:24",0.12126,2,ashesyuki
283,11128813,mingyeol_jie,"2023-10-30 00:16:00",0.12128,24,mingyeoljie
284,11183199,"Fazla Rabbi","2023-11-11 04:35:33",0.12128,6,rabbi2019331099
285,10989402,"Vidhyashree V","2023-10-01 07:07:53",0.12130,1,itsvidhya
286,11238006,"Sai Kiran Batchu","2023-11-13 17:54:40",0.12136,7,sai270496
287,11182259,utkarsh_diwak,"2023-11-03 12:49:01",0.12136,3,utkarshdiwak
288,11045975,"Dan S #3","2023-11-23 15:44:55",0.12136,66,danseciu
289,11190892,shambhavvi,"2023-11-16 04:05:03",0.12139,3,shambhavvi
290,10874575,WangShenglin,"2023-10-24 02:50:36",0.12144,3,wangshenglin
291,11028505,Jonathanluai,"2023-11-18 09:52:29",0.12145,2,jonathan1357902345
292,11078480,"Sathvik Chanda","2023-10-17 08:39:35",0.12146,2,sathvikchanda
293,11271884,"Shreyas L Shah","2023-11-23 11:11:25",0.12146,1,shreyaslshah
294,10942181,tengsihao,"2023-10-23 03:40:17",0.12146,24,tengsihao
295,10908607,"cai bolun tomato","2023-10-22 15:10:42",0.12149,18,caiboluntomato
296,10143649,wwxy.myxx,"2023-10-23 07:42:11",0.12149,4,wwxymyxx
297,11268319,jvs000,"2023-11-19 16:27:12",0.12149,8,jvs000
298,10753831,berti5,"2023-10-10 23:39:13",0.12150,17,berti5
299,9454696,JynxZz,"2023-11-08 15:42:17",0.12151,4,adriencellario
300,11037940,lijiaweiO.o,"2023-10-24 04:29:35",0.12151,9,lijiaweioo
301,10994849,"Pablo Poletti","2023-10-14 15:13:21",0.12152,17,pablop2
302,11062192,"Zhao Zhengkai","2023-10-14 16:28:50",0.12152,8,zhaozhengkai
303,11298480,"Fourier Sucks","2023-11-25 09:35:20",0.12152,1,fouriersucks
304,10804856,"atsushi sakamoto","2023-11-19 09:54:18",0.12152,2,atsushisakamoto
305,11136418,Ryan_zhang_rui,"2023-11-05 12:35:31",0.12154,7,ryanzhangrui
306,11167267,Justinhanz,"2023-11-05 09:27:18",0.12158,4,justinhanz
307,10735667,"Jeffrey Crawford","2023-10-30 18:00:56",0.12159,9,jeffreycrawford
308,10909736,ABHINAVBOHRA,"2023-09-27 05:36:04",0.12159,1,abhinavbohra
309,11163255,"Prudhvi Arun","2023-11-20 16:33:19",0.12163,12,prudhviarun
310,10766685,"Yuki #6","2023-10-14 06:56:34",0.12163,1,igarashiyuki
311,10874428,zeyu-liu233,"2023-10-23 12:08:39",0.12165,5,zeyuliu233
